date,adj_close,close,high,low,open,volume,symbol
2021-07-29,929.9536743164062,947.5745239257812,957.3352661132812,943.0287475585938,947.920654296875,13765738,RELIANCE_NS
2021-07-30,921.8238525390625,939.2906494140625,954.3585815429688,937.352294921875,949.7666625976562,11350608,RELIANCE_NS
2021-08-02,938.67236328125,956.4584350585938,959.6427612304688,941.9904174804688,948.0591430664062,10925104,RELIANCE_NS
2021-08-03,945.5792846679688,963.4962768554688,964.9961547851562,952.6279907226562,964.53466796875,11817299,RELIANCE_NS
2021-08-04,952.8261108398438,970.8803100585938,975.6106567382812,963.150146484375,966.5652465820312,13169800,RELIANCE_NS
2021-08-05,966.64013671875,984.9560546875,994.4398193359375,971.1110229492188,975.7490844726562,21252078,RELIANCE_NS
2021-08-06,946.1681518554688,964.0962524414062,990.8170776367188,959.3427734375,982.9715576171875,16620987,RELIANCE_NS
2021-08-09,940.7783813476562,958.6043701171875,964.4423828125,953.6893920898438,960.3811645507812,7494143,RELIANCE_NS
2021-08-10,945.7152099609375,963.6347045898438,975.149169921875,957.0352783203125,960.8426513671875,11919198,RELIANCE_NS
2021-08-11,958.963134765625,977.1336059570312,978.379638671875,961.48876953125,967.7420654296875,9184963,RELIANCE_NS
2021-08-12,955.8832397460938,973.9954223632812,981.240966796875,971.4571533203125,980.6409912109375,8137612,RELIANCE_NS
2021-08-13,971.8032836914062,990.2171020507812,992.1785278320312,973.2800903320312,977.1336059570312,12780901,RELIANCE_NS
2021-08-16,984.4169921875,1003.0698852539062,1016.6841430664062,982.140869140625,991.9246826171875,21935444,RELIANCE_NS
2021-08-17,980.2275390625,998.801025390625,1008.4694213867188,991.232421875,1000.9239501953125,12658169,RELIANCE_NS
2021-08-18,984.0321655273438,1002.6776123046875,1009.2078247070312,993.424560546875,1003.3006591796875,10075860,RELIANCE_NS
2021-08-20,972.98095703125,991.4170532226562,1002.3776245117188,986.2251586914062,988.994140625,9426282,RELIANCE_NS
2021-08-23,979.3670654296875,997.9241943359375,1003.3006591796875,984.0560913085938,1003.3006591796875,9854395,RELIANCE_NS
2021-08-24,989.036865234375,1007.7772216796875,1011.607666015625,994.8090209960938,999.1702270507812,11864472,RELIANCE_NS
2021-08-25,997.5970458984375,1016.49951171875,1024.5296630859375,1006.1157836914062,1008.561767578125,13380559,RELIANCE_NS
2021-08-26,1010.2107543945312,1029.352294921875,1036.02099609375,1017.6071166992188,1018.9916381835938,18589616,RELIANCE_NS
2021-08-27,1008.829345703125,1027.9447021484375,1035.02880859375,1022.7067260742188,1032.3751220703125,10480636,RELIANCE_NS
2021-08-30,1028.23681640625,1047.719970703125,1050.304443359375,1032.2828369140625,1038.3746337890625,14027062,RELIANCE_NS
2021-08-31,1022.7567138671875,1042.1358642578125,1053.9501953125,1034.7979736328125,1050.7889404296875,26485463,RELIANCE_NS
2021-09-01,1026.81005859375,1046.2662353515625,1058.1729736328125,1044.3741455078125,1048.9891357421875,11145486,RELIANCE_NS
